"M&A SDC Deal Number","Date Announced","Rank Value inc. Net Debt of Target
(USD, Millions)","Target Full Name","Target Macro Industry","Target Mid Industry","Target Nation","Acquiror Full Name","Acquiror Macro Industry","Acquiror Mid Industry","Acquiror Nation","M&A Type","M&A TRBC Activity
('|')","Acquiror Nation of Primary Stock Exchange","Deal Status",,,
3239737020,2018/04/29,"8062,472","DCT Industrial Trust Inc","Real Estate",REITs,"United States","Prologis Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Industrial REITs","United States",Completed,,,
2845173020,2015/12/15,"2091,517","Inland Real Estate Corp","Real Estate",REITs,"United States","DRA Advisors LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
2812080020,2015/10/16,"1399,636","Campus Crest Communities Inc","Real Estate",REITs,"United States","Harrison Street Real Estate Capital LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
3112909020,2017/06/09,"7282,538","DuPont Fabros Technology Inc","Real Estate",REITs,"United States","Digital Realty Trust Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
2756173040,2015/05/27,"1518,52620299232","Nomura Real Estate Residential Fund Inc","Real Estate",REITs,Japan,"Nomura Real Estate Master Fund Inc","Real Estate",REITs,Japan,"Disclosed Dollar Value Deal","Residential REITs",Japan,Completed,,,
2756178040,2015/05/27,"2954,7633238981","Nomura Real Estate Office Fund Inc","Real Estate",REITs,Japan,"Nomura Real Estate Master Fund Inc","Real Estate",REITs,Japan,"Disclosed Dollar Value Deal","Office REITs",Japan,Completed,,,
2751651040,2015/05/08,"1130,98518966638","Fonciere Des 6Eme Et 7eme Arrondissemets de Paris SIIC SA","Real Estate",REITs,France,"Fonciere De Paris SIIC SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Diversified REITs",France,Completed,,,
2742159020,2015/04/10,"1790,963","Excel Trust Inc","Real Estate",REITs,"United States","Blackstone Property Partners LP","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
2780259040,2015/03/27,"286,889375594033","Fountainhead Property Trust","Real Estate",REITs,"South Africa","Redefine Properties Ltd","Real Estate",REITs,"South Africa","Disclosed Dollar Value Deal","Commercial REITs (NEC)","South Africa",Completed,,,
2720971040,2015/02/03,"8223,21098844593","Novion Property Group","Real Estate",REITs,Australia,"Federation Centres Ltd","Real Estate",REITs,Australia,"Disclosed Dollar Value Deal","Retail REITs",Australia,Completed,,,
2757157040,2014/11/07,"0,775683512841756","Pretium AG","Real Estate",REITs,Switzerland,"Novavest Real Estate AG","Real Estate",REITs,Switzerland,"Disclosed Dollar Value Deal","Diversified REITs",Switzerland,Completed,,,
2273767020,2011/01/24,"2,091","Empire American Realty Trust Inc","Real Estate",REITs,"United States","RAIT Financial Trust","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs","United States",Completed,,,
3035707020,2016/11/14,"5755,002","Equity One Inc","Real Estate",REITs,"United States","Regency Centers Corp","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
2659223040,2014/07/29,"9569,20096008153","Corio NV","Real Estate",REITs,Netherlands,"Klepierre SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",France,Completed,,,
2638677040,2014/05/20,"1393,80806226193","SIIC de Paris SA","Real Estate",REITs,France,"Eurosic SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",France,Completed,,,
2639764040,2014/05/20,"113,291684618699","SIIC de Paris SA","Real Estate",REITs,France,"Eurosic SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",France,Completed,,,
2638316040,2014/05/15,"15,8698092031425","Pretium AG","Real Estate",REITs,Switzerland,"Novavest Real Estate AG","Real Estate",REITs,Switzerland,"Disclosed Dollar Value Deal","Diversified REITs",Switzerland,Completed,,,
2634441040,2014/03/27,"172,315599349397","Sycom Property Fund","Real Estate",REITs,"South Africa","Acucap Properties Ltd","Real Estate",REITs,"South Africa","Disclosed Dollar Value Deal","Commercial REITs (NEC)","South Africa",Completed,,,
3120594020,2017/06/28,"1283,057","First Potomac Realty Trust","Real Estate",REITs,"United States","Government Properties Income Trust","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
3175100020,2017/11/13,"27681,792","GGP Inc","Real Estate",REITs,"United States","Brookfield Property Partners LP","Real Estate",REITs,Bermuda,"Disclosed Dollar Value Deal","Retail REITs","United States",Completed,,,
2751622040,2013/11/20,"569,782036121264","Fonciere Paris France SA","Real Estate","Other Real Estate",France,"Fonciere De Paris SIIC SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",France,Completed,,,
2588788040,2013/10/15,"136,475631524855","Societe Immobiliere de Location pour l'Industrie et le Commerce SA","Real Estate","Other Real Estate",France,"Icade SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",France,Completed,,,
2770952020,2015/07/01,"2456,524","Gramercy Property Trust Inc","Real Estate",REITs,"United States","Chambers Street Properties","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Mortgage REITs","United States",Completed,,,
2944674020,2016/04/11,"14514,493","Hatteras Financial Corp","Real Estate",REITs,"United States","Annaly Capital Management Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Mortgage REITs","United States",Completed,,,
2664137040,2014/08/13,"847,055912007333","HealthLease Properties Real Estate Investment Trust","Real Estate",REITs,Canada,"Health Care REIT Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Healthcare REITs","United States",Completed,,,"Pas de prix mais société trouvée"
2507470040,2013/03/25,"317,656064796523",KEYreit,"Real Estate",REITs,Canada,"Plazacorp Retail Properties Ltd","Real Estate",REITs,Canada,"Disclosed Dollar Value Deal","Retail REITs",Canada,Completed,,,
2492914040,2013/02/01,"43,9735948389913","Klemurs SCA","Real Estate","Non Residential",France,"Klepierre SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",France,Completed,,,
2608525020,2014/02/10,"2432,295","Inland Diversified Real Estate Trust Inc","Real Estate",REITs,"United States","Kite Realty Group Trust","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,"Entreprise non renseignée"
2487830040,2013/01/16,"4466,45333065408","Primaris Retail Real Estate Investment Trust","Real Estate",REITs,Canada,"H&R Real Estate Investment Trust","Real Estate",REITs,Canada,"Disclosed Dollar Value Deal","Retail REITs",Canada,Completed,,,
3229345020,2018/03/28,"5382,756","LaSalle Hotel Properties","Real Estate",REITs,"United States","Pebblebrook Hotel Trust","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Hospitality REITs","United States",Completed,,,
2465509040,2012/11/06,"381,070057581574","Metric Property Investments PLC","Real Estate",REITs,"United Kingdom","London & Stamford Property PLC","Real Estate",REITs,"United Kingdom","Disclosed Dollar Value Deal","Retail REITs","United Kingdom",Completed,,,
772699020,1998/07/08,"2195,606","Merry Land & Investment Co Inc","Real Estate",REITs,"United States","Equity Residential","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs","United States",Completed,,,
1371957020,2003/02/19,"122,687","Merry Land Properties Inc","Real Estate",REITs,"United States","Cornerstone Realty Income Trust Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs","United States",Completed,,,
2380221040,2012/01/17,"1053,94837947","Whiterock Real Estate Investment Trust","Real Estate",REITs,Canada,"Dundee Real Estate Investment Trust","Real Estate",REITs,Canada,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Canada,Completed,,,
2373762040,2011/12/22,"673,444056301983","Japan Hotel & Resort Inc","Real Estate",REITs,Japan,"Nippon Hotel Fund Investment Corp","Real Estate",REITs,Japan,"Disclosed Dollar Value Deal","Hospitality REITs",Japan,Completed,,,
2371642040,2011/12/13,"3386,03621032408","Societe Immobiliere de Location pour l'Industrie et le Commerce SA","Real Estate","Other Real Estate",France,"Icade SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",France,Completed,,,
2335355040,2011/08/08,"793,300347356233","Ichigo Real Estate Investment Corp","Real Estate",REITs,Japan,"FC Residential Investment Corp","Real Estate",REITs,Japan,"Disclosed Dollar Value Deal","Office REITs",Japan,Completed,,,
2288973040,2011/03/10,"1063,08514618633","EDT Retail Management Ltd","Real Estate",REITs,Australia,"EPN GP LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Retail REITs",,Completed,,,
3142847020,2017/08/28,"545,318","NorthStar Real Estate Income Trust Inc","Real Estate",REITs,"United States","Colony NorthStar Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Mortgage REITs","United States",Completed,,,
2966667020,2016/05/06,"12634,227","NorthStar Realty Finance Corp","Real Estate",REITs,"United States","Colony Capital Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
2075741040,2009/05/22,"1599,5279827037","Brixton PLC","Real Estate","Other Real Estate","United Kingdom","Segro PLC","Real Estate",REITs,"United Kingdom","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United Kingdom",Completed,,,
2952899020,2016/04/29,"3498,571","Parkway Properties Inc","Real Estate",REITs,"United States","Cousins Properties Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Office REITs","United States",Completed,,,
1880473020,2007/06/21,"2074,857","Equity Inns Inc","Real Estate",REITs,"United States","Whitehall Street Global Real Estate LP 2007","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Hospitality REITs",,Completed,,,
1841251040,2007/02/19,"1224,68695743673","Beni Stabili SpA","Real Estate",REITs,Italy,"Fonciere des Regions SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Office REITs",France,Completed,,,
2994591020,2016/08/15,"4858,33","Post Properties Inc","Real Estate",REITs,"United States","Mid-America Apartment Communities Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs","United States",Completed,,,
1827416040,2007/01/03,"14,4771130004475","Citel SA","Energy and Power","Other Energy & Power",France,"Fonciere des Regions SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",France,Completed,,,
1775239020,2006/07/09,"3113,576","Heritage Property Investment Trust Inc","Real Estate",REITs,"United States","Centro Properties Group","Real Estate",REITs,Australia,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Australia,Completed,,,
1767931040,2006/06/12,"7,61148580632173","Societe de Tayninh SA",Financials,"Other Financials",France,"Unibail Holding SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Specialized REITs (NEC)",France,Completed,,,
1734917020,2006/02/10,"830,924","Bedford Property Investors Inc","Real Estate",REITs,"United States","LBA Realty LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1704415020,2005/10/24,"1959,825","AMLI Residential Properties Trust","Real Estate",REITs,"United States","Prime Property Fund LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
1640037020,2005/02/17,"559,706","Prime Group Realty Trust","Real Estate",REITs,"United States","Lightstone Group LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1589522040,2004/07/27,"1847,4387761526","Centro Properties Group","Real Estate",REITs,Australia,"Prime Retail Group","Real Estate",REITs,Australia,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Australia,Completed,,,
1412501020,2003/07/08,"603,517","Prime Retail Inc","Real Estate",REITs,"United States","Lightstone Group LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
726168020,1998/01/14,"866,704","Price REIT Inc","Real Estate",REITs,"United States","Kimco Realty Corp","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Retail REITs","United States",Completed,,,
1100071020,2001/02/15,"1050,812","Westfield America Inc (Westfield America Trust)","Real Estate",REITs,"United States","Westfield America Trust","Real Estate",REITs,Australia,"Disclosed Dollar Value Deal","Retail REITs",Australia,Completed,,,
1040453020,2000/08/17,"130,017","Westfield America Inc (Westfield Holdings Ltd)","Real Estate",REITs,"United States","Westfield America Trust","Real Estate",REITs,Australia,"Disclosed Dollar Value Deal","Retail REITs",Australia,Completed,,,
1042199040,2000/08/16,"213,227644583156","Macquarie Industrial Trust","Real Estate",REITs,Australia,"Goodman Hardie Industrial Property Trust","Real Estate",REITs,Australia,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Australia,Completed,,,
1006389020,2000/05/15,"1211,359","Bradley Real Estate Inc","Real Estate",REITs,"United States","Heritage Property Investment Trust Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
2274917020,2011/01/26,"15156,022",ProLogis,"Real Estate",REITs,"United States","Amb Property Corp","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Industrial REITs","United States",Completed,,,
385403020,1994/01/14,"56,87","Public Storage Properties VIII Inc","Real Estate","Non Residential","United States","Storage Equities Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
561022020,1996/06/20,"54,607","Public Storage Properties X Inc",Industrials,"Other Industrials","United States","Public Storage Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
3288419020,2018/09/17,"3182,756","Select Income REIT","Real Estate",REITs,"United States","Government Properties Income Trust","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
1830743040,2007/01/14,"1896,49833128403","Sunrise Senior Living Real Estate Investment Trust","Real Estate",REITs,Canada,"Ventas Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs","United States",Completed,,,
619789020,1997/01/03,"20,2","California Real Estate Investment Trust","Real Estate",REITs,"United States","Calreit Investors LP","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Mortgage REITs",,Completed,,,
2945427020,2016/04/07,"1113,183","Sutherland Asset Management Corp","Real Estate",REITs,"United States","ZAIS Financial Corp","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Mortgage REITs","United States",Completed,,,
3369770020,2019/03/25,"2304,78","TIER REIT Inc","Real Estate",REITs,"United States","Cousins Properties Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Office REITs","United States",Completed,,,
623494020,1997/01/16,"956,288","Wellsford Residential Property Trust","Real Estate",REITs,"United States","Equity Residential","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs","United States",Completed,,,
2383760020,2011/07/28,"22,4","Angeles Partners XII LP","Real Estate",Residential,"United States","AIMCO Properties LP","Real Estate",Residential,"United States","Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
2171568040,2010/04/07,"1044,22087773831","Westpac Office Trust","Real Estate",REITs,Australia,"Mirvac Ltd","Real Estate",Residential,Australia,"Disclosed Dollar Value Deal","Retail REITs",Australia,Completed,,,
2099303040,2009/10/12,"674,486718909964","Mirvac Real Estate Investment Trust","Real Estate",REITs,Australia,"Mirvac Ltd","Real Estate",Residential,Australia,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Australia,Completed,,,
2566738040,2013/09/13,"96,031746031746","Ascribe PLC","High Technology",Software,"United Kingdom","EMIS Group PLC","High Technology",Software,"United Kingdom","Disclosed Dollar Value Deal","Healthcare REITs","United Kingdom",Completed,,,
